fid_1,survey,transect,diameter,scoped,distance,tortoise
5,Doerun_NA,2,28,Y,2.145594279,0
6,Doerun_NA,2,31,Y,0.789368575,1
0,Doerun_NA,3,30,Y,11.62706339,1
1,Doerun_NA,4,40,Y,4.589712983,0
2,Doerun_NA,5,33,Y,6.869795262,0
3,Doerun_NA,2,41,Y,2.925785348,1
4,Doerun_NA,2,34,Y,3.127352102,0
7,Doerun_NA,2,16,Y,5.228078276,0
9,Doerun_NA,3,19,Y,6.499061762,1
14,Doerun_NA,5,30,Y,4.180394156,1
16,Doerun_NA,6,38,Y,2.070167874,0
20,Doerun_NA,7,44,Y,1.750351007,0
22,Doerun_NA,7,33,Y,2.265959507,0
23,Doerun_NA,7,40,Y,9.710917606,0
24,Doerun_NA,8,34,Y,7.332449145,1
25,Doerun_NA,8,25,Y,8.526482703,0
27,Doerun_NA,9,31,Y,0.509691468,0
28,Doerun_NA,9,34,Y,0.348904421,1
29,Doerun_NA,9,31,Y,6.046657751,0
31,Doerun_NA,9,33,Y,8.041782441,1
32,Doerun_NA,9,33,Y,15.9084779,1
34,Doerun_NA,9,35,Y,5.552587016,0
35,Doerun_NA,9,30,Y,1.419130991,1
40,Doerun_NA,10,39,Y,4.339899529,0
42,Doerun_NA,11,32,Y,6.205673418,0
43,Doerun_NA,12,32,Y,1.372845218,0
46,Doerun_NA,12,29,Y,5.601422094,0
51,Doerun_NA,15,34,Y,2.607085337,1
52,Doerun_NA,15,34,Y,9.647434381,0
53,Doerun_NA,15,34,Y,7.345815092,0
55,Doerun_NA,16,33,Y,6.656252214,0
61,Doerun_NA,19,31,Y,2.043389606,1
62,Doerun_NA,19,34,Y,2.072868848,0
64,Doerun_NA,19,38,Y,10.14251833,1
67,Doerun_NA,19,39,Y,1.645724026,1
70,Doerun_NA,20,31,Y,1.86846042,0
73,Doerun_NA,21,33,Y,5.509373336,0
74,Doerun_NA,21,43,Y,5.514438755,0
75,Doerun_NA,21,57,Y,9.482394607,1
76,Doerun_NA,21,30,Y,2.472580707,1
78,Doerun_NA,21,38,Y,1.561294085,0
79,Doerun_NA,21,33,Y,1.565409739,0
81,Doerun_NA,21,31,Y,3.401664784,1
83,Doerun_NA,22,35,Y,1.897639915,1
84,Doerun_NA,19,27,Y,5.040277647,0
85,Doerun_NA,19,30,Y,2.867118294,1
86,Doerun_NA,20,23,Y,2.800483697,0
91,Doerun_NA,21,41,Y,12.42407013,1
92,Doerun_NA,21,28,Y,9.413846698,0
93,Doerun_NA,21,29,Y,1.410211879,0
96,Doerun_NA,21,29,Y,3.391809508,1
97,Doerun_NA,21,30,Y,2.385448238,0
98,Doerun_NA,22,30,Y,4.969784279,1
100,Doerun_NA,22,38,Y,7.091210982,0
102,Doerun_NA,22,32,Y,0.831898493,1
103,Doerun_NA,22,33,Y,4.311672317,0
107,Doerun_NA,23,31,Y,0.227350991,0
108,Doerun_NA,23,31,Y,5.0764873,1
109,Doerun_NA,23,31,Y,11.36370404,0
110,Doerun_NA,23,31,Y,4.280041702,1
111,Doerun_NA,23,26,Y,2.746462619,1
112,Doerun_NA,23,31,Y,20.67109772,0
114,Doerun_NA,24,31,Y,0.123060897,0
117,Doerun_NA,24,27,Y,2.072234414,0
118,Doerun_NA,24,37,Y,2.434948466,0
120,Doerun_NA,24,32,Y,6.802807857,0
121,Doerun_NA,24,25,Y,11.24227175,0
122,Doerun_NA,24,33,Y,8.423949654,1
123,Doerun_NA,24,39,Y,9.42390771,0
124,Doerun_NA,24,30,Y,24.42327854,1
125,Doerun_NA,24,31,Y,9.552133614,0
129,Doerun_NA,24,54,Y,9.99823683,0
130,Doerun_NA,24,52,Y,12.08327133,1
133,Doerun_NA,24,29,Y,10.85108285,0
135,Doerun_NA,24,27,Y,1.501790814,0
139,Doerun_NA,25,37,Y,8.604801651,0
141,Doerun_NA,25,38,Y,9.574583523,1
143,Doerun_NA,26,36,Y,4.179992816,0
8,Doerun_NA,3,33,Y,3.989721112,0
10,Doerun_NA,3,12,Y,1.469622484,0
11,Doerun_NA,4,36,Y,0.931028868,0
12,Doerun_NA,4,37,Y,4.072128427,0
13,Doerun_NA,4,30,Y,4.097436832,0
15,Doerun_NA,5,22,Y,4.416412416,1
17,Doerun_NA,6,31,Y,5.623939393,1
18,Doerun_NA,7,29,Y,7.095663827,1
19,Doerun_NA,7,35,Y,0.795216007,1
21,Doerun_NA,7,26,Y,2.246926262,0
26,Doerun_NA,8,0,N,-1,1
30,Doerun_NA,9,31,Y,10.42279243,0
33,Doerun_NA,9,32,Y,5.770150594,1
36,Doerun_NA,8,28,Y,1.520638486,1
37,Doerun_NA,8,30,Y,11.50218363,1
38,Doerun_NA,8,33,Y,8.495602016,1
39,Doerun_NA,10,33,Y,1.561426044,0
41,Doerun_NA,10,27,Y,0.779447417,1
44,Doerun_NA,12,32,Y,2.341716404,0
45,Doerun_NA,12,28,Y,3.766482875,0
47,Doerun_NA,13,34,Y,1.471452486,0
48,Doerun_NA,14,39,Y,4.063296206,1
49,Doerun_NA,17,34,Y,9.178339874,1
50,Doerun_NA,18,43,Y,1.992121692,0
54,Doerun_NA,15,58,Y,5.723113053,1
56,Doerun_NA,19,35,Y,0.361272803,0
57,Doerun_NA,19,35,Y,7.649418193,1
58,Doerun_NA,19,34,Y,1.893313466,1
59,Doerun_NA,19,39,Y,5.055742706,0
60,Doerun_NA,19,40,Y,9.983366613,0
63,Doerun_NA,19,32,Y,3.086264912,1
65,Doerun_NA,19,35,Y,6.21489083,0
66,Doerun_NA,19,37,Y,8.297961511,0
68,Doerun_NA,21,37,N,2.40039848,1
69,Doerun_NA,22,38,N,2.263878522,1
71,Doerun_NA,20,34,Y,6.839907642,0
72,Doerun_NA,20,50,Y,4.427144686,1
77,Doerun_NA,22,34,Y,0.981327657,0
80,Doerun_NA,21,29,Y,1.561294085,0
82,Doerun_NA,22,37,N,4.274177904,0
87,Doerun_NA,20,31,Y,5.190972021,0
88,Doerun_NA,20,36,Y,7.140935288,1
89,Doerun_NA,20,30,Y,41.89444173,0
90,Doerun_NA,20,28,Y,1.923744186,0
94,Doerun_NA,21,27,Y,10.41066602,1
95,Doerun_NA,21,34,Y,2.596376503,1
99,Doerun_NA,22,30,Y,3.053840337,1
101,Doerun_NA,22,50,Y,1.110970922,1
104,Doerun_NA,23,33,Y,9.244371338,1
105,Doerun_NA,23,34,Y,1.5840678,0
106,Doerun_NA,23,28,Y,4.710431863,1
113,Doerun_NA,23,32,Y,18.7122573,1
115,Doerun_NA,24,26,Y,0.093014075,0
116,Doerun_NA,24,37,Y,18.94870357,0
119,Doerun_NA,24,31,Y,1.370877458,0
126,Doerun_NA,24,36,Y,13.64355577,1
127,Doerun_NA,24,30,Y,0.32838003,1
128,Doerun_NA,24,35,Y,15.83581074,0
131,Doerun_NA,24,39,Y,12.09243032,1
132,Doerun_NA,24,33,Y,21.23859672,1
134,Doerun_NA,24,30,Y,1.391882895,0
136,Doerun_NA,25,28,Y,9.679043712,0
137,Doerun_NA,25,29,Y,1.360117328,1
138,Doerun_NA,25,40,Y,3.602749945,0
140,Doerun_NA,25,35,Y,10.44393499,0
142,Doerun_NA,25,42,Y,2.460964735,1
5187,Holman,25,29,Y,3.241232561,1
5188,Holman,25,28,Y,18.74082607,0
5193,Holman,25,29,Y,16.66704528,0
5194,Holman,25,39,Y,16.08669911,0
5185,Holman,26,38,Y,22.36178518,0
4965,Holman,37,24,N,0.731204879,0
4972,Holman,35,27,N,2.351064769,0
4991,Holman,28,0,N,-1,0
4997,Holman,30,0,N,-1,0
5026,Holman,32,29,N,3.400001527,0
5037,Holman,28,0,N,-1,0
5141,Holman,28,16,N,3.927851746,0
5227,Holman,24,31,N,13.47188724,0
5228,Holman,24,37,N,5.113681289,0
5231,Holman,23,42,N,2.766340064,0
5370,Holman,18,29,Y,20.42813439,0
